Klasse;Best_Conf;Best_IoU;Best_F1
TUBE;0.050833333333333335;0.9730902025873976;0.9977827000555552
OK;0.050833333333333335;0.9743895576864409;0.9999999949019609
DEFORMATION;0.01;0.9834833134288875;0.9999999949180327
BODEN;0.01;0.9750992655754089;0.99760191341741
LUNKER;0.17333333333333334;0.9439597094673918;0.8676470537651384
